LABELS;S_0;S_5;C_0;S_8;C_8;S_9;S_2;S_3;C_5;S_7;C_9;S_4;S_1;C_2;C_3;C_4;C_7;C_1;S_6;C_6
JOB ID;0;5;0;8;8;9;2;3;5;7;9;4;1;2;3;4;7;1;6;6
EVENT TYPE;0;0;1;0;1;0;0;0;1;0;1;0;0;1;1;1;1;1;0;1
TIME;0.36;2.28;2.9714588348579682;2.9714588348579682;7.42;7.596407706650092;9.18;9.18;9.18;9.18;9.18;13.844612392331204;15.24;15.24;15.24;15.24;15.24;18.29;18.34;21.09
RESOURCE JOB 0;39.8784;14.361600000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;69.46;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.968285634898582;0.0;0.0;0.0;3.1117143651014167;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;82.4452042233954;0.0;0.0;0.0;5.2047957766046125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;20.21134174289844;0.0;62.10105825710157;1.7658411435674282;15.851758856432568;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;80.73;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;72.10162823006391;0.0;0.0;0.0;8.358371769936085;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;69.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;50.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
