LABELS;S_13;S_9;C_9;C_13;S_5;S_14;C_5;S_6;S_11;C_14;S_3;S_2;C_6;S_1;C_2;S_7;S_0;C_11;C_3;C_7;C_1;S_10;C_0;S_8;C_10;S_12;S_4;C_4;C_12;C_8
JOB ID;13;9;9;13;5;14;5;6;11;14;3;2;6;1;2;7;0;11;3;7;1;10;0;8;10;12;4;4;12;8
EVENT TYPE;0;0;1;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;1;1;1;0;1;0;1;0;0;1;1;1
TIME;0.0;0.9629761815796999;2.5964281388750736;2.5964281388750736;4.87;5.69;6.6949765807962525;6.6949765807962525;6.6949765807962525;8.38;8.57527851458886;8.72;9.5;10.03;10.03;10.03;10.45;10.45;10.69;12.35;13.56;13.56;14.7;14.7;14.7;14.74;15.07;20.56;20.56;22.21
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.9807999999998778;18.003000000000068;48.6662;0.0;21.57000000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.539000000000062;0.0;0.0;2.347200000000001;31.509999999999938;11.833799999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.941772580895595;6.1982274191044056;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.1824000000000154;11.762399999999985;7.9924000000000035;0.0;6.33359999999999;0.0;0.0;3.6192000000000064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99.35;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;41.0;34.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;51.64259274004688;8.869550132625939;2.894429708222816;14.723427419104368;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8610000000000007;0.0;0.0;0.4920000000000009;33.486999999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2696000000000254;0.0;3.144900000000007;56.01099999999997;15.724500000000006;0.0;0.0
RESOURCE JOB 9;0.0;64.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.717407259953166;0.8943755968169782;2.159244562334237;3.5723999999999947;4.380172580895618;0.0;6.266400000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3827999999999996;81.0972;0.0;0.0;0.0
RESOURCE JOB 13;26.597402135231313;17.412597864768685;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;15.918829039812612;0.0;0.0;24.891170960187388;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
