LABELS;S_0;S_6;C_0;S_11;S_9;C_6;S_7;C_9;C_7;S_4;S_14;S_1;S_3;C_11;C_4;S_10;C_1;C_3;S_5;C_10;S_8;C_5;C_8;S_2;C_14;C_2;S_13;S_12;C_13;C_12
JOB ID;0;6;0;11;9;6;7;9;7;4;14;1;3;11;4;10;1;3;5;10;8;5;8;2;14;2;13;12;13;12
EVENT TYPE;0;0;1;0;0;1;0;1;1;0;0;0;0;1;1;0;1;1;0;1;0;1;1;0;1;1;0;0;1;1
TIME;0.0;0.0;1.2322738386308063;1.2322738386308063;3.4;3.4022610337502943;5.477617457136496;5.477617457136496;6.78;6.780000000000001;6.780000000000001;6.829450771956465;6.829450771956465;6.829450771956465;8.85;8.85;11.19195954423627;11.19195954423627;11.191959544236271;12.19390048154093;12.393383134234504;13.669999999999998;14.71;14.949999999999994;16.78385147782641;16.783851477826413;16.783851477826413;18.238449848024317;18.238449848024317;21.05
RESOURCE JOB 0;50.39999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.2126732725892193;0.0;0.0;0.0;21.577326727410778;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.29;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7071922298152371;0.0;0.0;0.0;35.472807770184765;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3871995444191185;0.0;95.65280045558092;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.40728123274147;0.06183962233500767;24.940879144923517;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;10.953957433944957;0.0;57.05645578295378;0.0;0.009586783101248386;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;58.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.97079999999988;48.59920000000011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.005743025725749362;93.20425697427424;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.36163184236784;0.0;0.0;24.968368157632156;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;51.3298522855059;0.0;0.09772187868772875;10.563564195035763;6.629127143175197;0.0;0.0;2.0497344975954155;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.5;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.99;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0356045558086544;0.0;1.4547954441913449;0.0;0.0;0.0;1.6862108718501143;0.0;0.0;0.721397474859355;9.912293012343639;0.9191641433511553;3.295160606274706;0.17279999999999518;71.40257389132103;0.0;0.0;0.0;0.0;0.0;0.0
