LABELS;S_11;S_14;S_6;S_4;S_2;C_6;S_1;C_4;C_14;S_9;C_11;S_12;C_1;C_2;S_8;C_9;S_10;C_12;S_5;C_5;C_10;S_3;S_7;C_3;C_8;S_13;C_7;C_13;S_0;C_0
JOB ID;11;14;6;4;2;6;1;4;14;9;11;12;1;2;8;9;10;12;5;5;10;3;7;3;8;13;7;13;0;0
EVENT TYPE;0;0;0;0;0;1;0;1;1;0;1;0;1;1;0;1;0;1;0;1;1;0;0;1;1;0;1;1;0;1
TIME;0.87;2.53;3.63;4.88;4.903977591036415;5.867765811827848;6.399729589183565;6.701634062140391;6.701634062140391;7.08;7.08;7.08;7.96;7.96;9.61;9.61;9.61;9.61;9.64;13.39;13.39;13.44;13.44;18.355107604017217;18.355107604017217;18.355107604017217;20.23;20.23;20.45;28.94
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;92.97;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;5.80562301495976;7.275976985040302;0.0;0.0;0.0;10.228399999999937;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;3.4407239482254175;1.8991106851599078;1.0777989684558662;1.3507663981588074;0.0;0.0;0.0;3.1416000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.41673053221289535;16.750639277355106;9.24553045044236;5.247099739989636;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;49.88750000000002;0.6018375350140124;10.79066246498597;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;80.57852223816356;0.0;0.0;0.0;17.811477761836443;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4699999999999989;0.0;0.0;0.0;57.0467931133429;0.0;0.2819999999999965;27.7212068866571;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.7896000000000036;10.530399999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030000000000001137;0.0;0.0;0.0;94.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;42.99249999999999;6.654999999999999;7.5625;0.1450644257703111;5.830918735788174;3.218380853002081;1.8265220613888005;2.289113924050632;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.84040000000006;71.96959999999994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;65.34;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;48.34500000000001;1.8374999999999995;0.035247058823530075;11.376466613217023;0.7819867527129052;0.44379957524653335;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
