LABELS;S_6;C_6;S_1;S_7;S_8;C_1;C_8;S_2;C_7;S_3;S_4;C_2;S_5;C_4;S_0;C_5;S_9;C_3;C_0;C_9
JOB ID;6;6;1;7;8;1;8;2;7;3;4;2;5;4;0;5;9;3;0;9
EVENT TYPE;0;1;0;0;0;1;1;0;1;0;0;1;0;1;0;1;0;1;1;1
TIME;0.12;3.64;4.82;4.82;4.82;8.84;8.84;9.82;10.54;10.93;10.93;11.98;12.87;13.2;14.05;14.10234505087882;15.78;15.93;20.75;20.75
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2636095282148219;35.04859047178517;1.3109999999999786;42.12680000000003;0.0;0.0
RESOURCE JOB 1;0.0;0.0;73.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.567199999999957;13.848900000000015;0.0;15.57390000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.451999999999998;10.003600000000063;1.3992000000000004;24.12299999999999;0.2219430157262039;18.184256984273752;0.6359999999999957;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.47409999999997;34.49639999999994;10.799500000000087;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.301299999999912;18.37700000000001;1.1317000000000768;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;99.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;34.599999999999994;0.0;0.0;0.0;37.667199999999966;10.432800000000043;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;93.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8534999999999968;97.5865;0.0;0.0
