LABELS;S_5;S_10;S_14;S_0;S_8;C_5;C_14;C_10;S_1;C_8;S_12;S_13;C_12;C_0;S_9;C_1;S_3;C_13;C_3;S_2;S_6;S_7;C_2;S_11;S_4;C_7;C_9;C_6;C_11;C_4
JOB ID;5;10;14;0;8;5;14;10;1;8;12;13;12;0;9;1;3;13;3;2;6;7;2;11;4;7;9;6;11;4
EVENT TYPE;0;0;0;0;0;1;1;1;0;1;0;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1;1;1
TIME;0.55;0.55;2.49;4.48;4.48;4.488462401795733;4.488462401795733;6.719999999999999;6.72;6.868167540865948;7.12;7.94;8.59;9.1;9.1;10.87;11.321310438319024;12.59;13.62;14.17;15.16;15.16;15.71;15.71;16.03;16.6;16.6;20.16;20.16;22.547166837958205
RESOURCE JOB 0;0.0;0.0;0.0;0.19175802469132464;0.0;28.12313310428542;0.0;0.6237853470456436;0.0;5.706523523977609;11.930999999999997;12.696700000000007;2.147100000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7838062911808664;0.0;1.3321937088191333;4.337800000000001;3.4384999999999977;9.40949999999998;0.0;16.77820000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48.25260000000003;0.0;14.457399999999971;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.07609999999999;22.793900000000008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.893800000000123;23.124799999999837;0.0;0.0;69.68140000000004;0.0
RESOURCE JOB 5;0.0;19.33350572390573;4.5371999999999995;0.019294276094271368;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.4594999999999914;0.0;2.012800000000013;3.5853000000000037;78.21239999999999;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.939600000000034;0.0;2.8367999999999647;13.383600000000001;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.1186428731761513;0.0;78.70057172175282;0.0;6.000785405071014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.469212833257934;9.892724807953044;13.00476235878903;22.577600000000018;0.6434999999999995;1.2473999999999705;0.0;0.6435000000000031;0.0;0.37439999999999785;0.6669000000000018;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;21.320600000000002;5.628199999999996;0.018024915824911503;0.0;4.753175084175089;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.796799999999962;4.970399999999984;76.66280000000006;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.7312;10.6188;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.745999999999995;13.943399999999997;0.0;55.25258716674203;12.67279710799815;11.215215725259824;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;89.33460000000002;0.07539999999997704;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
