LABELS;S_12;S_3;C_12;S_13;C_3;S_18;S_19;C_13;S_2;C_19;S_16;C_18;S_1;C_2;S_4;S_8;C_16;S_0;C_8;C_4;S_5;C_1;S_15;C_5;S_6;S_9;S_14;C_0;S_10;C_14;S_7;C_6;C_9;C_10;S_11;C_15;C_11;C_7;S_17;C_17
JOB ID;12;3;12;13;3;18;19;13;2;19;16;18;1;2;4;8;16;0;8;4;5;1;15;5;6;9;14;0;10;14;7;6;9;10;11;15;11;7;17;17
EVENT TYPE;0;0;1;0;1;0;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;0;1;0;1;0;1;1;1;0;1;1;1;0;1
TIME;0.93;2.11;2.887624262847514;2.887624262847514;4.03;4.33;5.428315256688359;5.444601715620213;6.92;6.92;7.02;7.72;9.979999999999999;9.98;9.98;9.98;10.539347234814144;11.48;11.85;13.52;13.52;14.02;14.02;14.82;14.82;14.82;14.96305555555555;16.97;16.97;16.97;16.970000000000002;17.98;18.52;18.97;19.107594684385376;19.107594684385376;21.010594684385374;21.59;21.59;24.69
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.773699999999991;35.08670000000001;0.0;10.504999999999995;0.0;16.807999999999993;0.0;0.0;3.00559722222215;9.661002777777867;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.51080181323664;0.0;0.0;0.0;21.324598186763318;5.078400000000052;10.596199999999989;0.0;6.170000000000016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8330000000000268;0.0;1.2530000000000001;55.81399999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;12.95121314237572;0.0;29.99878685762428;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.1714988213961988;0.0;0.0;0.0;5.333501178603804;2.0978999999999957;37.8171;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.324999999999989;0.0;12.995000000000012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8425555555554922;13.900525000000044;0.0;0.0;6.336919444444462;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
