LABELS;S_0;S_7;C_7;C_0;S_2;S_5;S_4;C_2;C_4;C_5;S_1;S_3;S_6;S_9;C_3;C_9;C_1;C_6;S_8;C_8
JOB ID;0;7;7;0;2;5;4;2;4;5;1;3;6;9;3;9;1;6;8;8
EVENT TYPE;0;0;1;1;0;0;0;1;1;1;0;0;0;0;1;1;1;1;0;1
TIME;0.0;0.0;4.699999999999997;5.08;5.08;5.08;7.48;9.538515552817977;9.53851555281798;9.538515552817984;9.538515552817985;9.538515552817985;9.538515552817985;9.538515552817985;13.318280499164436;13.318280499164436;15.37;15.37;15.37;17.705758835758836
RESOURCE JOB 0;24.866199999999996;0.0;0.5738000000000048;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.10268267756771;0.0;0.0;0.0;0.0;31.557317322432286;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;76.86;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;66.84;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;14.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.8421709430404007e-13;35.94556463975474;0.0;0.0;0.0;0.0;53.42443536024498;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;52.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;89.88;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.8421709430404007e-13;0.0;86.77;0.0;0.0;0.0;-2.8421709430404007e-13;0.0;0.0;0.0;0.0;0.0;0.0
