LABELS;S_8;S_6;S_16;S_10;C_16;S_4;C_10;C_6;S_3;C_4;S_11;S_9;S_7;C_11;C_8;C_3;S_1;C_7;S_12;S_13;S_19;C_1;S_5;S_0;S_15;C_9;C_13;C_12;C_15;S_14;S_17;C_5;C_19;C_0;S_2;C_14;S_18;C_2;C_17;C_18
JOB ID;8;6;16;10;16;4;10;6;3;4;11;9;7;11;8;3;1;7;12;13;19;1;5;0;15;9;13;12;15;14;17;5;19;0;2;14;18;2;17;18
EVENT TYPE;0;0;0;0;1;0;1;1;0;1;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;1;1;1;1;0;0;1;1;1;0;1;0;1;1;1
TIME;1.45434698278063;2.5;2.5572917427288733;3.715869620832711;3.715869620832711;5.235484720758692;5.235484720758692;6.28;6.59;6.59;6.59;8.209999999999999;8.21;8.21;9.258073690855163;11.689304115911092;12.01;12.01;12.01;12.01;12.01;13.78;13.78;14.46903773584906;14.46903773584906;16.02;16.58522267206478;17.99;17.99;18.48;18.48;19.155454545454546;19.155454545454546;20.59;20.59;20.59;20.59;25.56805031446541;25.56805031446541;25.56805031446541
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.220099999999974;2.9956801619433473;7.445319838056662;8.285900000000026;0.0;3.5799090909090836;0.0;0.0;7.603090909090909;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.51;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.01900000000006;0.0;0.0;0.0;37.96122908277398;0.0;20.689770917225957;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;39.64980000000002;0.0;12.840199999999982;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.092963773585026;0.0;7.801340188679234;2.8430700404858413;30.47232599724959;7.336900000000362;0.0;16.643399999999943;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;2.1278153249503617;28.07234198645599;18.00222672442083;0.0;4.167615964172819;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.364316547645071;0.0;87.17624966442952;1.0294337879253916;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;8.417506788615931;0.46119852896743296;9.326551918735895;12.232901554404148;0.0;8.408347997892534;0.0;2.4954999999999927;13.041000000000004;0.0;0.0;0.0;8.436993211384063;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.6411457009550077;0.0;13.695500671140948;0.8081536279040478;0.0;0.0;0.0;4.4604;0.0;0.0;1.7363750943396283;0.0;3.908424905660368;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;20.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.94;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
