LABELS;S_6;S_9;S_8;C_9;C_6;S_7;C_7;S_1;C_8;C_1;S_4;S_3;C_4;S_5;S_0;S_2;C_5;C_0;C_2;C_3
JOB ID;6;9;8;9;6;7;7;1;8;1;4;3;4;5;0;2;5;0;2;3
EVENT TYPE;0;0;0;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1;1;1
TIME;0.0;0.2290851968636196;2.321806167400881;2.321806167400881;2.6;2.83;4.626316359696642;4.75;4.75;6.2102;6.2102;7.65;7.92;8.39;8.63;9.17;10.34;12.0;12.023071564281192;16.0
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.890399999999989;18.799699999999987;49.349900000000034;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.758499999999998;31.29289999999996;0.7286000000000428;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2800000000000153;0.6674000000000007;0.34079999999999977;0.7667999999999999;1.6613999999999987;2.3572000000000006;0.03276162127929183;19.653638378720693;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;71.99000000000001;12.219999999999985;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.59680000000003;19.342799999999954;26.280400000000014;0.0;0.0;0.0;0.0
RESOURCE JOB 6;7.846167992578971;39.05241350521839;0.0;1.6914185022026444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;16.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;3.157499999999999;2.6104999999999983;20.388190682556882;1.4038093174431197;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;24.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
