LABELS;S_7;S_0;C_7;S_5;S_6;C_0;S_1;S_4;S_2;C_4;C_6;S_9;C_1;C_2;S_3;C_5;S_8;C_8;C_9;C_3
JOB ID;7;0;7;5;6;0;1;4;2;4;6;9;1;2;3;5;8;8;9;3
EVENT TYPE;0;0;1;0;0;1;0;0;0;1;1;0;1;1;0;1;0;1;1;1
TIME;0.0;1.552190532196413;1.552190532196413;5.08;5.3827727272727275;5.55;6.730722286597143;7.48;9.57;9.57;9.57;11.165658104114572;11.83;11.83;11.83;12.35;12.8;15.37;15.59;18.95
RESOURCE JOB 0;0.0;24.7303;0.0;0.4571868181818193;0.2525131818181805;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;19.39879999999998;14.210200000000015;2.1541384405546715;0.0;0.0;0.8968615594453286;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;74.90019140713798;0.0;0.0;1.959808592862018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.880800000000079;1.4580000000000055;8.326799999999992;0.7128000000000014;47.791599999999924;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;66.84;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;2.5160413636363668;0.2859586363636349;2.0190351100811146;1.2812648899188872;3.5738999999999983;2.7285753580359184;0.0;0.0;1.136024641964081;0.0;0.0;0.8891999999999989;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;7.822891818181809;54.54557712735703;7.125631054461181;19.875899999999987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;52.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;89.88;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.400616049102098;0.0;0.0;22.22999999999996;5.104783950897925;30.293200000000013;0.7413999999999987;0.0;0.0
