LABELS;S_9;S_2;C_9;S_5;S_1;C_2;S_8;S_0;C_5;S_7;C_8;S_3;C_0;C_1;S_4;C_7;C_3;C_4;S_6;C_6
JOB ID;9;2;9;5;1;2;8;0;5;7;8;3;0;1;4;7;3;4;6;6
EVENT TYPE;0;0;1;0;0;1;0;0;1;0;1;0;1;1;0;1;1;1;0;1
TIME;0.38;3.92;3.92;7.17;8.319563020993145;8.319563020993145;8.36;9.67256457882738;9.67256457882738;9.67256457882738;9.67256457882738;12.6;14.178823251891568;14.379999999999999;14.379999999999999;14.38;15.099934836277644;19.95;19.95;21.23
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;88.36251857120108;0.0;5.2574814287989255;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.5531778728137624;6.571925986730491;0.0;0.0;40.04731656164142;0.0;3.915481664691093;2.7520979141233113;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;83.2765843898627;0.0;5.4834156101373;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.38464803354411;2.432226884631035;0.0;0.0;27.34312508182485;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.653616732057257;67.95638326794274;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;27.520538722575907;0.0;0.03315832278561981;1.0763029546384522;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.96193592578851;0.0;8.383551467544237;4.874512606667281;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;57.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;66.63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
