LABELS;S_0;C_0;S_5;S_8;S_2;C_8;S_7;S_9;C_5;C_9;S_6;S_3;C_6;C_2;S_4;S_1;C_3;C_4;C_1;C_7
JOB ID;0;0;5;8;2;8;7;9;5;9;6;3;6;2;4;1;3;4;1;7
EVENT TYPE;0;1;0;0;0;1;0;0;1;1;0;0;1;1;0;0;1;1;1;1
TIME;0.36;2.98;2.98;2.98;7.3823478691626;7.3823478691626;7.42;7.42;9.18;9.18;9.35;11.745189430117797;11.745189430117797;13.01;13.01;15.24;15.24;15.24;17.33;17.33
RESOURCE JOB 0;54.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;69.46;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.41718560967839124;0.0;7.1219143903216064;0.0;0.3791000000000011;0.0;5.341272429162686;2.8205275708373136;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.7277;0.0;0.0;47.92230000000001;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.22;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;81.93550217031765;0.3768978296823633;0.0;17.617599999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;80.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;12.300485609678397;0.0;1.0183000000000035;0.0;33.688199076727216;7.576215313594389;0.0;0.0;13.357699999999994;0.0;12.519099999999995;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;69.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;50.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
