LABELS;S_9;S_13;C_9;C_13;S_5;S_14;C_5;S_6;S_11;S_1;C_14;S_3;C_6;S_12;S_7;C_11;S_2;C_3;S_4;C_7;C_2;S_0;C_1;S_10;C_10;C_0;S_8;C_4;C_12;C_8
JOB ID;9;13;9;13;5;14;5;6;11;1;14;3;6;12;7;11;2;3;4;7;2;0;1;10;10;0;8;4;12;8
EVENT TYPE;0;0;1;1;0;0;1;0;0;0;1;0;1;0;0;1;0;1;0;1;1;0;1;0;1;1;0;1;1;1
TIME;0.0;1.0365894279507601;2.63;2.63;4.87;5.69;6.6949765807962525;6.6949765807962525;6.6949765807962525;8.38;8.38;9.14527851458886;9.14527851458886;9.145278514588862;9.67;10.4;10.400000000000002;11.26;11.260000000000003;11.776524663407582;11.98;11.99;12.46;13.662214411247803;14.7;15.010986542388853;15.17;18.76;20.56;20.6
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.228023076923048;52.98158910369069;10.305210896309376;13.705176923076888;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.484423872679045;0.0;9.88575278514589;0.0;0.0;7.139400000000009;0.0;8.410799999999966;1.7053025658242404e-13;8.284917262581992;6.442029156515982;0.09779999999999234;5.48487692307695;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.672599999999989;0.0;1.94227107288809;2.525128927111922;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.9128000000000185;0.0;0.0;11.008399999999995;0.0;12.968799999999987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4638226444541473;0.970577355545835;0.39059999999999384;2.241900000000001;5.73456274165202;4.950237258347968;1.4834058071948433;0.7584941928051592;80.35640000000004;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;41.0;34.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.8554737400531;27.274526259946896;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.353746419098155;0.0;9.950199999999946;0.0;12.536053580901903;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.21270000000001;41.55609999999996;0.3812000000000353;0.0
RESOURCE JOB 9;51.82947139753801;12.430528602461997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.43;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.50452625994697;3.5049755968169762;0.0;7.828844562334211;0.0;0.0;5.15165358090184;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6086769230769207;0.0;0.0;0.8468000000000018;0.0;0.9975999999999985;0.0;0.599168609552791;0.23603139044720578;0.01159999999999961;0.5452000000000012;1.3945687170474503;1.2038312829525495;0.3607443891710673;0.18445561082893036;64.93090000000007;9.56042307692302;0.0;0.0
RESOURCE JOB 13;0.0;44.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;15.918829039812612;0.0;0.0;24.891170960187388;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
