LABELS;S_1;S_11;S_18;C_1;C_11;S_6;C_18;S_4;S_5;S_2;C_6;C_4;S_13;S_10;C_2;C_10;S_12;S_0;C_5;C_13;S_15;C_12;S_7;C_15;S_17;C_0;C_7;S_14;S_19;S_9;C_17;C_19;S_3;C_14;S_16;C_3;S_8;C_16;C_8;C_9
JOB ID;1;11;18;1;11;6;18;4;5;2;6;4;13;10;2;10;12;0;5;13;15;12;7;15;17;0;7;14;19;9;17;19;3;14;16;3;8;16;8;9
EVENT TYPE;0;0;0;1;1;0;1;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;1;0;0;0;1;1;0;1;0;1;0;1;1;1
TIME;0.95;3.08;3.08;5.14;5.14;6.67;6.67;8.403730369161737;8.403730369161737;8.83;8.83;10.38;10.8;11.35;13.87;13.87;14.249999999999998;14.25;14.25;14.6;15.997815126050419;16.67;17.14;17.14;17.584363585276762;19.33;19.33;19.33;19.33;20.89;20.89;20.89;21.93;22.6;22.6;26.82;26.82;26.82;28.444635264693623;33.84
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.111100000000008;0.0;0.0;49.37083025210086;3.744069747899175;9.517499999999927;16.543656279853806;0.0;2.8628437201461097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;89.3066;0.0;5.9533999999999985;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.817300000000024;0.0;10.571399999999983;4.724499999999992;21.6468;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.96609999999996;0.0;38.50390000000004;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.996165612890138;22.563834387109864;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.903834387109839;41.11886561289011;0.0;3.7505999999999915;4.9114999999999895;27.121899999999926;3.6433000000001456;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;86.68651845808694;0.0;0.41348154191311437;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
